id,key,filename,content_type,metadata,byte_size,checksum,created_at
645,j1ch6ez7ga1rzm7v5x4j25fzaz0e,dhi-nkb1000.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.925926,""display_aspect_ratio"":[16,9],""analyzed"":true}",2875005,t3//9km4EbpykfeehMOseQ==,2020-09-08 14:21:45.420067
647,d13eni2vlaaquzbvoeyjnx7qyzqx,!4!.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",6127,qJOGP7+ybRpkSByqngIt0w==,2020-09-09 08:06:03.343876
648,a3smojguwlyuf2zurrxp2ovfqw23,dhi-nvr21db-s2.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3683175,rz+Tk1Mp0S9SLLjiR0gFBA==,2020-09-09 08:07:12.396728
649,40ax79b00qii73o5460d974z0tio,dhi-nvr21db-s2.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3683175,rz+Tk1Mp0S9SLLjiR0gFBA==,2020-09-09 08:07:12.576165
650,io3h70y5yhjkeo7354a8kwldpckz,dhi-nvr21db-s2.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3683175,rz+Tk1Mp0S9SLLjiR0gFBA==,2020-09-09 08:07:40.709234
651,i6m5uix77qhjevdyjyzysrx1xpyu,dhi-nvr21db-s2.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3683175,rz+Tk1Mp0S9SLLjiR0gFBA==,2020-09-09 08:07:40.882655
652,qgdchk66yp379zuv0aaubm8qzeqj,!4!.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",6127,qJOGP7+ybRpkSByqngIt0w==,2020-09-09 08:09:19.635208
653,8zicerd7olt4wmt6njfazqq0dxal,!4!.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",6127,qJOGP7+ybRpkSByqngIt0w==,2020-09-09 08:10:24.347559
654,bdlhxr0x25c4lf6is80g68geiaep,dhi-nvr21db-s2.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3683175,rz+Tk1Mp0S9SLLjiR0gFBA==,2020-09-09 08:10:45.147801
655,pu83bu0mvbgx4fib0f0tmmvmt7vz,dhi-nvr21db-s2.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3683175,rz+Tk1Mp0S9SLLjiR0gFBA==,2020-09-09 08:10:45.356351
