id,name,record_type,record_id,blob_id,created_at
295,video,Spree::Product,2406,295,2020-08-17 08:56:06.441984
296,attachment,Spree::Asset,169,296,2020-08-17 08:56:16.425416
297,attachment,Spree::Asset,170,297,2020-08-17 08:56:57.047875
299,video,Spree::Product,1362,299,2020-08-17 08:57:11.942120
301,video,Spree::Product,1392,301,2020-08-17 08:58:01.066713
303,attachment,Spree::Asset,172,303,2020-08-17 08:58:47.823079
305,video,Spree::Product,1340,305,2020-08-17 08:58:58.954073
307,video,Spree::Product,1350,307,2020-08-17 08:59:48.445995
308,attachment,Spree::Asset,173,308,2020-08-17 08:59:57.780428
312,video,Spree::Product,1076,312,2020-08-17 09:05:21.168300
313,attachment,Spree::Asset,174,313,2020-08-17 09:05:39.174467
315,video,Spree::Product,2407,315,2020-08-17 09:06:19.090248
316,attachment,Spree::Asset,175,316,2020-08-17 09:07:28.443393
317,attachment,Spree::Asset,176,317,2020-08-17 09:08:53.705116
319,video,Spree::Product,2022,319,2020-08-17 09:09:15.494927
321,video,Spree::Product,2019,321,2020-08-17 09:09:49.783716
324,video,Spree::Product,2018,324,2020-08-17 09:11:32.717687
328,video,Spree::Product,2408,328,2020-08-17 09:14:15.399073
330,video,Spree::Product,619,330,2020-08-17 09:15:27.725335
334,video,Spree::Product,657,334,2020-08-17 09:17:31.473964
336,video,Spree::Product,682,336,2020-08-17 09:19:40.414053
340,video,Spree::Product,692,340,2020-08-17 09:21:31.830436
342,video,Spree::Product,673,342,2020-08-17 09:22:17.561099
344,attachment,Spree::Asset,185,344,2020-08-17 09:26:10.739509
346,video,Spree::Product,2409,346,2020-08-17 09:26:46.770199
348,video,Spree::Product,2410,348,2020-08-17 09:29:21.338103
349,attachment,Spree::Asset,186,349,2020-08-17 09:29:45.418883
352,video,Spree::Product,2411,352,2020-08-17 09:33:08.926121
354,video,Spree::Product,2412,354,2020-08-17 09:35:08.619194
358,video,Spree::Product,694,358,2020-08-17 09:43:32.866028
360,video,Spree::Product,1616,360,2020-08-17 09:44:31.073995
361,attachment,Spree::Asset,190,361,2020-08-17 09:45:11.698333
362,attachment,Spree::Asset,191,362,2020-08-17 09:45:33.776743
